Epoch,Image Index,Original Age Prediction,Original Gender Prediction,Adversarial Age Prediction,Adversarial Gender Prediction
1,0,[52.738194],[-2.852034   -0.20959622],[28.87281],[-1.0011519  1.2504268]
1,1,[25.257484],[-1.2149942  0.6548009],[61.437374],[-1.7408538   0.97604686]
2,0,[25.947578],[-1.0344684   0.30748552],[37.862198],[-2.8375115  0.9100571]
2,1,[38.291405],[-2.521923   0.9470114],[25.146587],[-1.0201732 -0.211991 ]
3,0,[24.776745],[-0.494303   1.0105077],[29.575438],[-0.7418755  -0.03472038]
3,1,[41.043724],[-1.5400231  1.2426748],[24.966354],[-1.5972449  -0.00749281]
4,0,[42.137157],[-2.0689356   0.67622143],[28.269527],[-0.19190554  0.33995098]
4,1,[36.034836],[-0.9882821  0.4788394],[52.22627],[-3.0219626  1.5646334]
5,0,[48.65837],[-1.0725603   0.16976799],[29.672882],[-1.7497655 -0.2566682]
5,1,[28.851917],[-0.39897     0.07069221],[21.836021],[-0.5381003  -0.42591012]
6,0,[28.974937],[-0.16958724 -0.3038019 ],[51.29044],[-1.6552347  1.5748544]
6,1,[34.539837],[-1.1305704   0.10446526],[56.906723],[-4.085928   1.3894389]
7,0,[27.178381],[-0.4859602 -0.4104182],[25.70518],[-0.04775599 -0.14567882]
7,1,[30.145992],[-0.65728956  0.06035632],[65.64929],[-2.5298355 -0.7879284]
8,0,[29.070637],[-1.1548452  1.0970848],[19.33247],[ 0.7957524 -1.8757272]
8,1,[32.942818],[-0.2125837   0.23927785],[30.852186],[0.82329994 0.951464  ]
9,0,[39.917088],[-0.39765203  1.8586333 ],[36.601036],[-1.3303895  0.5384727]
9,1,[32.65384],[-1.9583415  1.5591013],[27.44403],[-0.6102081  -0.10972454]
10,0,[28.513226],[-1.7877607  0.5910332],[66.27885],[-3.887981  -1.1338876]
10,1,[38.429214],[-1.0291911   0.67719424],[40.387688],[-1.7715275  -0.56083214]
11,0,[54.058693],[-2.8979244  1.8529396],[24.346518],[-0.16416375 -0.8554588 ]
11,1,[35.996933],[-2.6818895  1.6607285],[64.04405],[-4.7372565   0.98272127]
12,0,[32.6533],[-0.9357903  2.2447867],[67.20866],[-5.2408876  3.4729958]
12,1,[36.943638],[-0.56032646  1.1072036 ],[21.680986],[ 0.7446625 -0.5209081]
13,0,[40.975227],[-1.8914512  1.3521444],[29.98553],[-1.144517   0.2832231]
