Epoch,Image Index,Original Age Prediction,Original Gender Prediction,Noisy Age Prediction,Noisy Gender Prediction,Rotation Age Prediction,Rotation Gender Prediction,Brightness Age Prediction,Brightness Gender Prediction,Contrast Age Prediction,Contrast Gender Prediction
1,0,[67.39116],[-4.422286   1.6354425],[56.906845],[-3.6163235  1.2541096],[34.946865],[-1.2557464   0.24162076],[54.842236],[-3.1265616  1.1081753],[46.4108],[-2.4094737   0.82025987]
1,1,[30.30556],[-0.79899544  0.01431157],[32.60801],[-1.1076459  0.1851709],[36.21574],[-1.497016   0.3497218],[25.551842],[-0.29023713 -0.23732713],[29.030365],[-0.69518644 -0.05093756]
1,2,[28.16414],[-0.59513503 -0.20820872],[32.27992],[-1.1258731   0.07317127],[32.313385],[-0.89396405  0.0980439 ],[33.95482],[-0.9679322  0.0994467],[33.527885],[-0.922377    0.07874739]
1,3,[37.233192],[-1.6106168  0.5121185],[32.925858],[-1.247707    0.28023243],[35.18939],[-1.3562905   0.28693962],[37.560963],[-1.5735171  0.4798355],[36.187782],[-1.469034   0.3981288]
2,0,[24.628263],[-0.2959516  -0.37809795],[23.155201],[-0.19086058 -0.40286124],[34.471573],[-1.3192602   0.32768548],[36.623947],[-1.1732427   0.21459796],[37.1654],[-1.2113274  0.1792341]
2,1,[40.880733],[-2.1381876   0.55324465],[39.43499],[-2.0268312   0.55627483],[40.571247],[-2.0919676  0.7412741],[46.46794],[-2.6188548  0.875454 ],[43.713684],[-2.3122904   0.72472215]
2,2,[43.617947],[-2.2534316   0.68310636],[40.40754],[-2.0434523   0.79110545],[43.820755],[-2.0587504   0.43236512],[38.71429],[-1.5656031  0.440525 ],[40.745766],[-1.8632585  0.5901239]
2,3,[36.36886],[-1.6570704  0.6161867],[33.78088],[-1.4733484   0.47823614],[36.637512],[-1.7321681   0.55475867],[35.837128],[-1.3366604   0.31094605],[35.89977],[-1.3726882   0.34654194]
3,0,[45.2011],[-2.124363   0.6715442],[48.087852],[-2.388667   0.7080336],[39.00183],[-1.6428      0.38041383],[41.9844],[-1.8169304   0.49347633],[41.12444],[-1.7105974  0.4244007]
3,1,[32.57066],[-1.084651  0.189882],[33.01107],[-1.2566801   0.30182087],[36.37628],[-1.5964745  0.3158859],[34.776794],[-1.3767498  0.326352 ],[35.6406],[-1.4621891   0.37165356]
3,2,[29.385897],[-0.8801161   0.04129468],[30.920757],[-0.99106467  0.16209416],[34.360764],[-1.4516726  0.4173345],[35.100307],[-1.2197442  0.26092  ],[34.787506],[-1.1667771   0.21593566]
3,3,[32.203625],[-1.024593   0.0740421],[30.463638],[-0.9907043   0.07989769],[31.896704],[-1.025897    0.12600826],[35.128014],[-1.3627663  0.3206845],[34.48303],[-1.3437088   0.32318407]
4,0,[34.27045],[-1.2314649   0.28553998],[39.22274],[-1.6514709  0.5008257],[34.708027],[-1.210344   0.2949887],[44.170193],[-2.0267673   0.52579945],[42.1817],[-1.8871592  0.4922487]
4,1,[35.05793],[-1.5357572   0.33583385],[36.53239],[-1.5198377   0.42616743],[35.89415],[-1.7055446  0.5943658],[32.234764],[-1.0481827   0.11599727],[30.861994],[-0.9812553   0.06303519]
